industry,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Agriculture, Forestry and Fisheries",1863246,2761897,3535789,3733114,4136783,4753529,5047404,5042238,6484069,6862785,5415570,5439853,4962503,5458985,4980634,4827392,5098642,5283101,5608574,5351874,4614719,4405818,4316193,4224070,4182591,4067104,4290096,3766261,3620138,3641187,3426811,3180624,3261397,3329597,3355360,3435417,3600569,3795346,3426197,3101609,3101609,3101609,3101609
Mining,270823,307527,296575,318776,405057,434938,440769,498188,476704,498867,564698,566053,594223,587057,529283,551052,540605,531505,544131,531141,501759,505570,488968,481266,496060,462411,442260,438267,415855,394299,394351,359099,306637,271330,263823,256588,224175,204610,185730,181008,181008,181008,181008
Food,826498,955804,1095305,1296390,1646804,1839618,2253189,2550196,2736403,2915977,3094193,3275944,3399770,3589455,3630498,3806257,3956963,4235135,4525591,4674111,4724837,4885843,5079564,5175402,5419250,5565449,5517738,5553565,5369517,5322991,5502238,5200620,5025260,4989899,5044031,4790892,5029606,4886628,4606485,4063369,4063369,4063369,4063369
Texitile,1156365,1310394,1555555,1937465,2280603,2424552,2719279,2873388,3028538,3144883,3144525,3233445,3296540,3287960,3396944,3359763,3509971,3583518,3725710,3880219,3971779,4065193,4109091,3858964,3730252,3588234,3398391,3303459,3021609,2753433,2500652,2173425,1924358,1883902,1832121,1779545,1716525,1615599,1579785,1416022,1416022,1416022,1416022
Paper and Pulp,331768,399483,461415,581965,782029,830612,923943,989630,1001758,1042832,1089940,1159533,1180620,1252535,1289837,1342915,1378362,1494165,1608886,1717093,1767968,1857185,1861416,1833853,1877474,1883873,1885350,1905947,1785303,1740616,1765279,1621483,1531550,1522450,1537239,1477373,1529674,1466191,1391054,1243730,1243730,1243730,1243730
Chemical,717413,795996,935209,1125678,1490080,1659906,1886715,1872781,1871031,1942011,2143314,2219348,2418402,2497259,2749699,2815745,2779688,2825981,3002246,3167473,3330519,3597800,3676261,3634155,3678951,3598850,3462892,3563148,3523143,3361801,3567955,3346724,3137025,3089659,3144595,3218236,3466363,3181693,3145105,2633727,2633727,2633727,2633727
Oil and Coal Product,60307,71107,88507,109445,150141,171373,204198,210516,213844,227244,261378,275540,290353,291298,307722,309782,296374,286076,297362,307124,326547,350573,353451,363096,369528,367130,349742,350371,341310,304180,304705,284253,271731,278100,285662,298218,321277,305899,318987,277902,277902,277902,277902
"Ceramics, Stone Product",529390,607642,746365,934509,1206676,1335149,1506396,1509656,1558600,1645492,1810840,1864115,1980703,2008333,2184185,2162074,2122524,2122550,2301821,2414263,2534100,2778660,2779609,2737140,2853294,2823077,2686199,2720646,2549714,2319379,2380430,2199931,1928859,1881434,1880328,1850136,1944063,1790575,1790562,1537571,1537571,1537571,1537571
Manufacture of Metal,1402253,1652188,1669378,2070816,2874400,3118194,3220306,3376879,3281118,3458522,3799755,3791204,3845082,3911516,4031359,3871837,3800073,3778157,3895086,4261719,4464932,4654110,4654199,4424029,4235507,4184325,4144195,4152992,3836456,3563712,3533654,3400935,3260663,3273472,3391143,3571414,3881363,3978309,4073159,3364532,3364532,3364532,3364532
Fabricated Metal Product,862508,1001549,1177112,1457275,1828906,1873041,1987711,2188944,2284619,2493619,2666311,2873737,3014668,3259806,3426703,3637078,3836391,3945771,4291453,4653790,4959684,5453066,5670372,5720445,5507616,5640557,5625621,5580033,5326923,4979769,4830060,4635980,4439147,4413220,4414660,4468017,4486842,4241170,4172879,3676127,3676127,3676127,3676127
Manufacture of General Purpose Machinery,1429071,1597834,1779954,2162802,2819046,2828435,3012335,3365062,3537512,3942171,4640111,4971154,5251668,5577157,5937293,6291594,6415814,6247332,6758110,7485951,8066672,8775905,8831505,8254549,7860431,8111211,8489513,8691451,8438706,8005548,8011094,7771619,7366356,7379980,7810171,8170726,8507542,8374065,8452207,7095784,7095784,7095784,7095784
Manufacture of Electrical Machinery,1365311,1545187,1798412,2227837,2848463,2842335,3299324,3695130,3851329,4282399,5060969,5652574,6078639,6778473,8036140,8356960,8847306,8917662,9354511,10131195,10377010,11260344,11443628,10986456,10769190,11017867,11495921,11828010,11596637,11387301,11452583,10917511,10012669,9986707,10107640,10188317,10422790,10380077,9835538,8499707,8499707,8499707,8499707
Manufacture of Transportation Equipment,1243162,1488381,1812064,2287221,2993964,3275157,3577343,3953312,4009216,4054604,4414019,4730633,4971241,5160089,5658562,5874379,5841768,5783319,5834404,6374917,6749126,6990283,7624400,7504107,7342464,7302498,7494843,7801326,7576631,7386908,7413494,7437109,7568017,7909677,8153178,8571236,9105844,9127839,9412304,8120523,8120523,8120523,8120523
Manufacture of Precision Instrument industry,251772,298576,343062,420948,565275,563432,636527,743617,793865,869566,1003434,1107843,1104754,1161401,1216295,1262537,1301998,1269037,1294575,1378159,1444251,1542772,1494072,1350995,1270300,1259499,1231581,1278164,1260476,1163017,1109476,1117490,1056259,1052862,1123008,1115015,1156418,1125335,1104857,940213,940213,940213,940213
Other Manufacture,2104756,2448605,2900716,3589511,4546545,5001193,5774565,6354564,6890335,7209245,7349770,7808564,8167703,8601629,9089479,9608325,9877903,10118235,10850424,11509803,12254504,13215876,13334037,12796714,12612485,12792945,12291050,12616728,12358905,11904588,11801706,11260910,10835897,10639236,10492534,10165560,10423796,9946079,9362419,8167447,8167447,8167447,8167447
Construction,4020826,4986020,6108858,7683067,9330476,11048819,12444693,14097950,15510114,16648195,17969324,18833189,19332641,19782509,19843504,19805176,20825038,21611934,24239105,26745926,28403647,30981314,32698733,33442666,34503088,34849284,35413281,35597614,33370982,33085312,33113646,30900784,29027705,28389279,28458134,27964650,28201749,27545839,26560101,26445906,26445906,26445906,26445906
"Electricity, gas, heat supply and water",421380,490644,578475,744902,892113,1108173,1253415,1400133,1529591,1644626,1748669,1903210,2080132,2113322,2164668,2341747,2537318,2738469,2876433,2981011,3062554,3306405,3288114,3292542,3377600,3486642,3430759,3437144,3557588,3669917,3631665,3615194,3620278,3472593,3469268,3528922,3533172,3293909,3178466,3175291,3175291,3175291,3175291
Retail,7045454,8364530,9603046,12372997,15509852,17936108,20745803,23893063,25138804,26675391,29452463,31228298,32572194,34305845,36570873,36951213,38137393,38915422,39214982,40388086,40496328,44196304,46369662,46656630,47142093,47850555,48642599,48983371,47902800,43826535,42482344,40955211,38377178,38652515,36306481,36875923,36672411,36625155,36342209,32448457,32448457,32448457,32448457
Finance and Insurance,1467287,1826412,2163082,2635084,3398040,4253162,5061642,5812149,6319523,6839975,7498835,8190323,8852908,9620837,10339833,10252917,10976553,11896920,12780992,13466306,14018772,14273809,14506457,14685893,14722858,14990182,14965228,14802400,14730099,13934509,14084314,12972378,13034862,12510096,12756548,13377608,14135879,14267089,14342154,13973634,13973634,13973634,13973634
Real Estate,289118,396465,445267,562734,650769,815644,912013,1072995,1197041,1361327,1423099,1659365,1832455,1920285,2011356,2108557,2439379,2817738,3023032,3495451,3700787,3919050,4188846,3940107,4167687,4204359,3898279,3875023,4041602,4082546,4542861,4142260,4180407,4191398,4116024,4321247,4628815,4316087,4064016,3862503,3862503,3862503,3862503
Transportation and Communication,3469933,4161911,4778005,6017484,7460033,8725909,10034443,10862039,11455655,11904217,12348610,13192703,14195771,14891851,15199151,15677433,16546297,16878971,17657699,19015599,19618265,20219647,21024509,21798060,21900580,22940405,22378625,21858739,21532217,20202202,20640831,19399003,18406068,18591541,17950296,17939687,18823782,17671539,17275563,17347742,17347742,17347742,17347742
"Services(Private, Non-profit)",6574062,8123619,9989420,12167683,15204787,18799944,22453342,24911974,26564364,27686146,28342465,31043060,34169900,36594303,39226136,41472439,45000560,48766169,51725664,55330965,58093414,64409456,68856255,70932992,74065304,78108651,79897796,83510914,85635086,83794715,85280596,85787486,86769535,89105207,88984267,91780310,94696216,93707760,94103352,89082724,89082724,89082724,89082724
Services(Government),3891348,4679273,5724494,6752778,8542779,11693396,14253891,15412261,16588604,17663075,18415739,19677864,20882719,21176523,21524290,22101576,23396546,24110293,24919510,25522610,25364973,27163199,27954424,28464134,28446420,29160967,30414476,31919119,33455641,35224846,35139024,33731276,33682555,33449706,33180239,32787643,32771633,31928455,31193255,30934526,30934526,30934526,30934526
