industry,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Agriculture, Forestry and Fisheries",19231050,17981434,17203134,16220086,15921110,15388565,15160922,15104499,14935382,14138697,13181380,12383717,11995950,11156563,11070397,10467197,10266282,9664634,9319799,9012833,8865440,8444258,8569402,8108811,7748310,7786419,7533410,7094998,6592662,6245688,5815563,5731843,5312974,5264873,5279590,5233367,4893786,4889659,4872952,4756939,4581192,4416585,4301281
Mining,550780,531170,449169,408692,391453,352094,347533,336261,328216,323168,324065,314531,311579,301978,293545,282170,270943,256591,248908,235497,218525,205500,198504,193330,188144,177522,172528,162322,159121,145830,139079,126260,119465,111929,101688,95979,89902,88063,85060,73977,69664,68376,64262
Food,2807139,2799943,2763307,2754452,2616820,2536113,2752202,2786536,2756114,2759315,2766285,2829757,2816397,2917719,2850236,2949881,2947002,3067453,3180484,3132915,3085594,3092516,3018468,2954815,2992364,2933379,2953183,2915624,2767605,2744498,2792370,2784814,2726591,2726649,2711787,2626028,2714028,2805791,2713497,2578733,2445543,2359215,2353662
Texitile,4318084,4214102,4153615,4278291,3870634,3683038,3832176,3748369,3728267,3681170,3544340,3500722,3473880,3424752,3437975,3347831,3352956,3322122,3356514,3337984,3270033,3236789,3131702,2866181,2710785,2545135,2385702,2249049,2022838,1862270,1679177,1497292,1332664,1230880,1142910,1062316,1034459,987830,923399,821894,779084,758554,753702
Paper and Pulp,903844,906575,869395,870935,824421,747411,781302,788413,761034,758556,754938,760878,733996,750311,741567,756281,742197,774177,787064,786586,798256,787589,776112,754426,762120,743362,728325,709561,659153,648254,649634,622178,588014,565611,555386,528721,545778,543250,510065,480986,454831,464875,442729
Chemical,1286375,1236787,1256848,1251368,1216664,1158115,1181060,1083721,1025625,998079,1022696,1007133,1015424,1003629,1063922,1035479,998867,990869,1009200,1003592,1032416,1061835,1059739,1045392,1047315,988959,956773,954086,930242,895393,934436,901596,843056,811811,801608,789703,830016,801931,807325,749790,757997,754779,749493
Oil and Coal Product,109326,109732,115979,117800,118155,111987,120463,115958,113000,119198,119843,116866,113524,106757,105931,98699,91993,86227,89796,85824,88159,89200,87756,88726,90738,86230,80078,78547,77164,70266,70755,66032,63598,61973,56011,61346,65137,65411,64094,56747,58171,57765,56959
"Ceramics, Stone Product",1510494,1469278,1551804,1590760,1516832,1428706,1477798,1370763,1328727,1326445,1370408,1306442,1312112,1272997,1324452,1244975,1208361,1181650,1243636,1251178,1252768,1271535,1197770,1141711,1151208,1090172,1059549,1044655,974314,913431,930355,867085,763082,753179,730824,708201,722504,689332,681547,589571,603739,580934,583483
Manufacture of Metal,2412930,2373741,2331095,2331487,2289837,2120832,1985505,1951598,1802652,1781073,1803364,1717728,1652784,1620588,1648938,1564135,1472424,1411360,1416749,1432188,1437868,1436821,1395634,1316506,1246773,1223037,1230295,1214091,1092775,1045085,1058599,1015607,976869,969009,955473,962149,1006739,1037548,1034766,871721,968774,989043,1000128
Fabricated Metal Product,2404393,2404146,2422198,2493857,2304126,2043381,1996121,2003041,1967120,2049832,2116889,2054586,2109459,2170721,2211421,2264086,2296630,2292114,2390152,2433966,2473254,2471821,2432560,2356005,2211568,2222716,2255356,2214689,2062870,1998929,1976002,1947992,1871826,1814971,1762184,1764893,1765957,1734851,1637941,1416387,1462633,1420111,1533392
Manufacture of General Purpose Machinery,2889327,2833135,2726751,2797858,2746482,2468583,2408673,2469417,2459017,2598082,2899647,2915110,2928629,3014042,3142614,3247170,3176387,3031417,3201900,3329032,3407658,3460746,3273879,3024578,2844178,2865279,2988353,3006222,2836274,2730836,2790528,2715390,2571604,2557738,2638247,2666638,2743276,2768065,2790494,2217777,2418245,2529804,2579003
Manufacture of Electrical Machinery,3103519,3029215,3048366,3204174,3089435,2701978,2851623,2906809,2839287,2959428,3282203,3515664,3525481,3859290,4447755,4441418,4590343,4593115,4752807,4880185,4850618,4883203,4649535,4405844,4273861,4181210,4212348,4234036,3997317,3951897,3947870,3747543,3472977,3474022,3419543,3329812,3413900,3495779,3324713,2932153,3161579,3163069,2904396
Manufacture of Transportation Equipment,2478321,2482971,2564547,2650836,2618831,2451361,2444027,2486262,2402803,2357785,2437502,2459173,2351010,2348920,2478573,2528568,2419980,2403222,2439291,2555372,2614685,2539724,2620331,2475100,2395731,2304639,2351207,2389651,2233446,2183539,2200162,2228846,2316026,2378044,2393081,2497707,2648411,2693468,2667432,2248957,2500042,2505899,2590307
