industry,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Agriculture, Forestry and Fisheries",10775891,9995345,9513784,9067319,8842470,8650867,8474341,8395763,8291585,8002827,7589920,7353973,7215461,6980533,6714605,6619943,6400843,6231837,6013007,5817809,5648658,5459671,5329586,5032885,4895394,4792636,4576928,4413382,4237271,4050942,3866481,3697509,3460175,3432732,3371200,3343065,3249973,3250579,3217166,3150340,3049038,2967470,2911402
Mining,234180,229661,194379,172832,168624,154739,154747,148036,142985,140822,139707,139287,135385,131271,125773,121502,116539,111991,107852,104112,98765,95169,91881,88230,85529,82208,79198,76310,74965,70269,67292,62390,58294,54416,50117,47133,44839,42522,40618,37919,34888,33685,31696
Food,1269522,1288481,1273452,1291291,1265902,1243007,1303127,1313091,1303225,1297346,1298145,1333877,1334600,1375844,1346229,1392489,1394963,1444692,1499067,1507916,1515148,1553978,1558924,1564515,1593625,1568441,1562200,1559808,1500628,1496723,1508659,1506719,1486737,1472849,1454298,1407340,1447851,1488227,1447419,1412552,1331310,1285146,1277960
Texitile,1994563,1972011,1955512,2072188,1932361,1840854,1871640,1827667,1824613,1790167,1714389,1711497,1695074,1671779,1665507,1623563,1614199,1593806,1607689,1619587,1612943,1622119,1591490,1478656,1397853,1314623,1226085,1182301,1088601,1009220,911805,807326,720267,673951,628912,595216,573143,539220,512431,474730,437517,426238,417197
Paper and Pulp,405571,414299,399494,408305,401473,370977,375525,377127,365040,362106,358484,364785,352075,359705,350866,354132,349868,362508,373762,380493,384822,391483,387780,383697,384695,371583,367047,365298,343688,340082,337435,320582,305112,295509,289341,277254,284169,283420,268877,260713,240589,244785,233135
Chemical,604761,593254,603240,609760,619132,606887,605296,551111,521740,505575,518057,505647,518602,512098,534677,527418,505001,494556,505146,507477,521542,542265,549848,549954,551239,519198,503342,510580,499167,483599,499966,482789,456711,439956,426938,421609,437265,424124,430845,407449,407856,405542,398370
Oil and Coal Product,49272,50573,53626,55261,57608,56177,58696,56255,54725,57487,57427,55405,54230,51088,50095,47573,44593,41751,41806,40835,41642,42861,42612,43827,43952,41875,40263,39734,39025,35748,35327,33299,31912,32174,30996,29979,31113,30982,30625,29313,29748,29508,28805
"Ceramics, Stone Product",665523,660109,697500,723794,719041,694859,700201,644079,623523,618291,636807,616648,613442,595500,611589,589123,560580,545183,566887,568424,575574,593331,575901,558059,563223,534652,511810,513789,487460,456935,465075,444353,394934,382236,366255,356168,362830,346396,343115,319513,313967,303647,303637
Manufacture of Metal,1059415,1066796,1051737,1061169,1102279,1061234,972587,942911,868635,848307,854706,820172,791581,779379,777179,739200,706660,677238,660340,668134,666279,682270,687983,671965,644540,622592,618008,610944,568150,540871,529784,519162,500832,486659,475370,480517,497201,513182,524441,479860,488886,496693,500607
Fabricated Metal Product,1012334,1036668,1048319,1100352,1070311,974780,922164,918580,904680,931874,957517,970866,973753,1000467,1005810,1033592,1048572,1040877,1079738,1105040,1133114,1167403,1176649,1177857,1117473,1104637,1108540,1101737,1057337,1017115,987425,980862,949464,918558,880985,888603,877076,859264,837579,784817,767396,742486,786297
Manufacture of General Purpose Machinery,1255498,1257145,1222266,1265046,1304181,1201664,1144698,1160103,1150390,1200172,1328128,1345668,1347035,1384356,1414701,1470018,1456384,1380836,1435069,1503051,1548459,1606832,1600965,1512282,1416890,1412594,1455651,1467807,1429484,1391160,1377459,1358299,1291614,1265231,1275738,1308213,1337395,1364317,1380559,1240504,1245789,1283831,1307048
Manufacture of Electrical Machinery,1470635,1456691,1457520,1545171,1550330,1382453,1423184,1430992,1391242,1435892,1593935,1698328,1728775,1866645,2122807,2161260,2241911,2221231,2283737,2380705,2388021,2468452,2462591,2359592,2252697,2185330,2205032,2212439,2133951,2110911,2067574,2010144,1849990,1812328,1775585,1743121,1762583,1810855,1749262,1635337,1662414,1677842,1536929
