industry,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Agriculture, Forestry and Fisheries",8422818,7833035,8767373,9206866,9103341,9443230,8962580,8579054,8560847,8511766,7981707,7992636,8464825,8610877,8851658,9011516,8891047,9017737,8717455,8985897,9276125,8143027,8376461,7522769,7749986,7292069,7922158,7784142,7916249,7920947,8047482,7847037,8329331,7807627,7226630,7504442,7359365,7727117,8138899,7377587,7323809,7452174,7500838
Mining,962247,986201,994724,1023820,916665,852916,987796,1063221,1030982,970778,1096289,1059210,1094904,998208,886206,827193,826326,752502,766511,723717,914193,851988,790907,722838,584108,546415,585138,569042,538162,523161,598165,644488,619539,630249,547891,593229,530311,406095,314935,240304,233853,322235,320117
Food,11180155,11131079,10692060,13206926,13207153,12035992,12121024,13321620,12388973,13802769,14310276,14736083,15412154,16062109,15337322,16160924,15632859,14943641,15251882,15552028,14775032,15349818,15590733,15553209,15788108,16170282,16148885,16182384,16345022,16134176,16113713,16230732,16041839,16023540,16150630,15625780,15736232,16050009,15342229,14217050,15416965,14243715,14001796
Texitile,3142388,3098810,3018451,3151945,3693319,3650265,3443909,3407810,3245947,3509888,4158085,4418349,4170393,4289974,3898763,5094142,5310288,5325071,5486561,5450516,5584176,5870804,5647457,5287726,4629622,4335675,4092810,3786802,3467315,2875852,2598291,2188678,1948270,1894721,1840296,1651455,1721838,1788406,1863307,1512218,1464867,1586092,1444884
Paper and Pulp,1641111,1723206,1895457,1946865,1743766,1693453,1921907,1816299,1830888,1984266,1947790,2323715,2370399,2484050,2519904,2677725,2605597,2694668,2919354,3262924,3515516,3321900,3192196,3105161,2973752,3117507,3080859,3056601,2994479,2874333,3008830,2777244,2577292,2600683,2668294,2982576,2726511,2635737,2597999,2120616,2282238,2425290,2203613
Chemical,1166089,1394188,1577719,1566850,1634058,1190709,1595346,1847798,2286666,2331337,2562428,3014300,3441389,3784584,4346623,4992752,5560520,5773958,6198692,6966970,7348110,7579145,8220549,8265011,8258468,8181380,8582093,8856911,8286785,8838412,8505223,8466072,8716356,9136979,9164039,9143574,8973258,8719238,8366020,7921826,9412326,8934882,9195392
Oil and Coal Product,5865777,5648400,6526570,6658879,6964013,7346498,8124665,7928652,8927850,5870091,6380396,6232381,6393766,6151685,6631020,6885596,5318403,5891495,5580708,5711021,5634115,6130878,6535408,6199801,6475240,6044439,7098369,7237276,6167766,5418281,5560028,5172374,4883028,4458773,4198687,4258358,4095150,4574375,4294325,3929959,3316477,3685234,4040649
"Ceramics, Stone Product",2407876,2524877,2774849,3102646,2825594,2506108,2600820,2516549,2481896,2515498,2639929,2765499,2750711,2931739,2969176,3314833,3151002,3300554,3629924,3804505,3939340,3927193,3970593,3824814,3874737,3888961,4036913,3988206,3654476,3417298,3559921,3415085,3211787,3252420,3407043,3399446,3558546,3891518,3583841,2399310,2853004,3100114,2812921
Manufacture of Metal,3811922,4024894,4565297,5202345,4695891,4068137,4459122,3968010,4314145,5305161,5691195,4945275,4840850,4457237,5617847,6198884,5858245,6297172,6953082,7292640,7420324,7427281,7160109,6588371,6604587,6871934,6945364,7192897,6048600,5971414,6682102,6340562,5688337,6054040,6145955,6559994,6337225,6098421,5224202,3196676,3080574,3711691,3314482
Fabricated Metal Product,2631113,2723498,3091127,3831198,3099151,2734198,2803024,3028477,3255788,3591290,3734248,3784633,4013297,4028791,3959578,4546928,4854773,4880157,5274356,5457889,6019361,6139536,6093307,6153903,5814769,6057721,6226924,6255292,5906909,5634434,5769578,5323298,4744688,4726552,4300750,4531740,4595536,4477979,4238463,3709465,3936200,3677095,3529507
